run_id;road;trip_count;trip_profit;total_profit
"run_1788715223527_seed123456789";"Region C · Hub 3 <-> Region C · Hub 4";"6";"3.85";"56.72"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 2";"0";"0";"0"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 5";"6";"109";"658.94"
"run_1788715223527_seed123456789";"Region D · Hub 2 <-> Region D · Hub 5";"6";"102.90";"620.35"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 4";"6";"45.95";"413.70"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 5";"6";"39.65";"231.71"
"run_1788715223527_seed123456789";"Region D · Hub 4 <-> Region D · Hub 5";"6";"86.35";"550.83"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 2";"7";"119.30";"871.95"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 4";"3";"0";"551.10"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region B · Hub 1";"3";"116.34";"150.99"
"run_1788715223527_seed123456789";"Region A · Hub 2 <-> Region A · Hub 3";"7";"58.50";"381.96"
"run_1788715223527_seed123456789";"Region A · Hub 3 <-> Region A · Hub 4";"7";"58.55";"556.43"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 2";"1";"1474.51";"1474.51"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 4";"1";"0";"151.61"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 3";"1";"15.74";"15.74"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region C · Hub 1";"1";"55.59";"55.59"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 4";"2";"1668.95";"1914.01"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 3";"2";"1642.10";"1672.61"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 4";"7";"8.20";"77.83"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region D · Hub 1";"1";"0";"31.28"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 3";"6";"0.35";"2.10"
"run_1788715223527_seed123456789";"Region C · Hub 3 <-> Region C · Hub 4";"7";"3.85";"60.57"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 2";"1";"171.18";"171.18"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 5";"7";"109";"767.94"
"run_1788715223527_seed123456789";"Region D · Hub 2 <-> Region D · Hub 5";"7";"102.90";"723.25"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 4";"7";"45.95";"459.65"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 5";"7";"39.65";"271.36"
"run_1788715223527_seed123456789";"Region D · Hub 4 <-> Region D · Hub 5";"7";"86.35";"637.18"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 2";"8";"119.30";"991.25"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 4";"3";"0";"551.10"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region B · Hub 1";"4";"301.86";"452.84"
"run_1788715223527_seed123456789";"Region A · Hub 2 <-> Region A · Hub 3";"8";"99";"480.96"
"run_1788715223527_seed123456789";"Region A · Hub 3 <-> Region A · Hub 4";"8";"109.71";"666.14"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 2";"1";"0";"1474.51"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 4";"2";"260.22";"411.83"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 3";"2";"705.56";"721.30"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region C · Hub 1";"1";"0";"55.59"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 4";"3";"353.67";"2267.68"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 3";"3";"739.51";"2412.12"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 4";"8";"8.20";"86.03"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region D · Hub 1";"2";"806.16";"837.45"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 3";"7";"0.35";"2.45"
"run_1788715223527_seed123456789";"Region C · Hub 3 <-> Region C · Hub 4";"8";"3.85";"64.42"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 2";"1";"0";"171.18"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 5";"8";"109";"876.94"
"run_1788715223527_seed123456789";"Region D · Hub 2 <-> Region D · Hub 5";"8";"102.90";"826.15"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 4";"8";"92.98";"552.63"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 5";"8";"606.65";"878.01"
"run_1788715223527_seed123456789";"Region D · Hub 4 <-> Region D · Hub 5";"8";"86.35";"723.53"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 2";"9";"119.30";"1110.55"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 4";"3";"0";"551.10"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region B · Hub 1";"5";"138.36";"591.20"
"run_1788715223527_seed123456789";"Region A · Hub 2 <-> Region A · Hub 3";"9";"54.45";"535.41"
"run_1788715223527_seed123456789";"Region A · Hub 3 <-> Region A · Hub 4";"9";"62.60";"728.74"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 2";"1";"0";"1474.51"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 4";"3";"2.53";"414.36"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region B · Hub 3";"3";"37.76";"759.06"
"run_1788715223527_seed123456789";"Region B · Hub 1 <-> Region C · Hub 1";"2";"77.61";"133.19"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 4";"3";"0";"2267.68"
"run_1788715223527_seed123456789";"Region B · Hub 2 <-> Region B · Hub 3";"3";"0";"2412.12"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 3";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region C · Hub 4";"9";"8.20";"94.23"
"run_1788715223527_seed123456789";"Region C · Hub 1 <-> Region D · Hub 1";"3";"74.64";"912.09"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 4";"0";"0";"0"
"run_1788715223527_seed123456789";"Region C · Hub 2 <-> Region C · Hub 3";"8";"0.35";"2.80"
"run_1788715223527_seed123456789";"Region C · Hub 3 <-> Region C · Hub 4";"9";"3.85";"68.27"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 2";"2";"114.16";"285.34"
"run_1788715223527_seed123456789";"Region D · Hub 1 <-> Region D · Hub 5";"9";"109";"985.94"
"run_1788715223527_seed123456789";"Region D · Hub 2 <-> Region D · Hub 5";"9";"102.90";"929.05"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 4";"9";"47.48";"600.12"
"run_1788715223527_seed123456789";"Region D · Hub 3 <-> Region D · Hub 5";"9";"38.12";"916.13"
"run_1788715223527_seed123456789";"Region D · Hub 4 <-> Region D · Hub 5";"9";"86.35";"809.88"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 2";"10";"119.30";"1229.85"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region A · Hub 4";"3";"0";"551.10"
"run_1788715223527_seed123456789";"Region A · Hub 1 <-> Region B · Hub 1";"6";"301.86";"893.06"
"run_1788715223527_seed123456789";"Region A · Hub 2 <-> Region A · Hub 3";"10";"99";"634.41"
